Amplitude,k_on,n_H,BFIP,Theta_mean,MI,dG
0.75,10000.0,1.0,0,0.21975678824804878,0.6931471805599453,-38.74802598781439
0.75,10000.0,1.5,0,0.20459545560917033,0.6931471805599453,-39.24834996489738
0.75,10000.0,2.0,0,0.1897717745466389,0.6931471805599453,-39.73753143996092
0.75,100000.0,1.0,0,0.21975738825309551,0.6931471805599453,-38.748006187647846
0.75,100000.0,1.5,0,0.20459638823814444,0.6931471805599453,-39.24831918814123
0.75,100000.0,2.0,0,0.18977304435635284,0.6931471805599453,-39.73748953624035
0.75,1000000.0,1.0,0,0.21975744825054108,0.6931471805599453,-38.748004207732144
0.75,1000000.0,1.5,0,0.20459648097009045,0.6931471805599453,-39.24831612798702
0.75,1000000.0,2.0,0,0.1897731713401075,0.6931471805599453,-39.737485345776456
0.85,10000.0,1.0,0,0.23527045824556597,0.6931471805599453,-38.23607487789632
0.85,10000.0,1.5,0,0.2276144054112327,0.6931471805599453,-38.48872462142932
0.85,10000.0,2.0,0,0.22000042346049076,0.6931471805599453,-38.7399860258038
0.85,100000.0,1.0,0,0.235271031445764,0.6931471805599453,-38.23605596228979
0.85,100000.0,1.5,0,0.22761528537792655,0.6931471805599453,-38.48869558252842
0.85,100000.0,2.0,0,0.22000162336202486,0.6931471805599453,-38.73994642905318
0.85,1000000.0,1.0,0,0.23527108876718392,0.6931471805599453,-38.23605407068293
0.85,1000000.0,1.5,0,0.22761537338505755,0.6931471805599453,-38.4886926782931
0.85,1000000.0,2.0,0,0.22000174334467557,0.6931471805599453,-38.7399424696257
0.95,10000.0,1.0,0,0.24915661927951957,0.6931471805599453,-37.777831563775855
0.95,10000.0,1.5,0,0.24840918864605177,0.6931471805599453,-37.80249677468029
0.95,10000.0,2.0,0,0.24766178309876774,0.6931471805599453,-37.82716115774066
0.95,100000.0,1.0,0,0.24915716433099136,0.6931471805599453,-37.77781357707728
0.95,100000.0,1.5,0,0.24841000854483888,0.6931471805599453,-37.80246971802032
0.95,100000.0,2.0,0,0.24766287970564008,0.6931471805599453,-37.82712496971388
0.95,1000000.0,1.0,0,0.24915721883071296,0.6931471805599453,-37.77781177858647
0.95,1000000.0,1.5,0,0.24841009095944847,0.6931471805599453,-37.802466998338204
0.95,1000000.0,2.0,0,0.24766298986482463,0.6931471805599453,-37.827121334460784
1.0,10000.0,1.0,0,0.255567373453779,0.6931471805599453,-37.566276676025296
1.0,10000.0,1.5,0,0.2580239377524437,0.6931471805599453,-37.48521005416936
1.0,10000.0,2.0,0,0.26047895734377996,0.6931471805599453,-37.40419440765526
1.0,100000.0,1.0,0,0.25556790428528037,0.6931471805599453,-37.56625915858575
1.0,100000.0,1.5,0,0.2580247259480229,0.6931471805599453,-37.48518404371524
1.0,100000.0,2.0,0,0.2604799969722456,0.6931471805599453,-37.4041600999159
1.0,1000000.0,1.0,0,0.25556795736827514,0.6931471805599453,-37.56625740684692
1.0,1000000.0,1.5,0,0.25802480476570516,0.6931471805599453,-37.48518144273173
1.0,1000000.0,2.0,0,0.2604801008425703,0.6931471805599453,-37.40415667219518
